,0
0,"Orlando, FL: Orlando International"
1,"Oakland, CA: Metropolitan Oakland International"
2,"Boston, MA: Logan International"
3,"West Palm Beach/Palm Beach, FL: Palm Beach International"
4,"New York, NY: John F. Kennedy International"
5,"Washington, DC: Washington Dulles International"
6,"Hartford, CT: Bradley International"
7,"Fort Myers, FL: Southwest Florida International"
8,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
9,"San Jose, CA: Norman Y. Mineta San Jose International"
10,"Providence, RI: Theodore Francis Green State"
11,"Washington, DC: Ronald Reagan Washington National"
12,"Rochester, NY: Greater Rochester International"
13,"Los Angeles, CA: Los Angeles International"
14,"Denver, CO: Denver International"
15,"Seattle, WA: Seattle/Tacoma International"
16,"Newark, NJ: Newark Liberty International"
17,"Buffalo, NY: Buffalo Niagara International"
18,"Tampa, FL: Tampa International"
19,"Long Beach, CA: Long Beach Airport"
20,"Salt Lake City, UT: Salt Lake City International"
21,"Newburgh/Poughkeepsie, NY: Stewart International"
22,"White Plains, NY: Westchester County"
23,"San Francisco, CA: San Francisco International"
24,"Houston, TX: William P Hobby"
25,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
26,"Phoenix, AZ: Phoenix Sky Harbor International"
27,"Las Vegas, NV: McCarran International"
28,"San Diego, CA: San Diego International"
29,"Cleveland, OH: Cleveland-Hopkins International"
30,"San Juan, PR: Luis Munoz Marin International"
31,"Syracuse, NY: Syracuse Hancock International"
32,"Ponce, PR: Mercedita"
33,"New York, NY: LaGuardia"
34,"New Orleans, LA: Louis Armstrong New Orleans International"
35,"Jacksonville, FL: Jacksonville International"
36,"Aguadilla, PR: Rafael Hernandez"
37,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
38,"Philadelphia, PA: Philadelphia International"
39,"Austin, TX: Austin - Bergstrom International"
40,"Charlotte Amalie, VI: Cyril E King"
41,"Savannah, GA: Savannah/Hilton Head International"
42,"Charleston, SC: Charleston AFB/International"
43,"Chicago, IL: Chicago O'Hare International"
44,"Raleigh/Durham, NC: Raleigh-Durham International"
45,"Richmond, VA: Richmond International"
46,"Charlotte, NC: Charlotte Douglas International"
47,"Detroit, MI: Detroit Metro Wayne County"
48,"Pittsburgh, PA: Pittsburgh International"
49,"Portland, OR: Portland International"
50,"Burlington, VT: Burlington International"
51,"Worcester, MA: Worcester Regional"
52,"Albuquerque, NM: Albuquerque International Sunport"
53,"Reno, NV: Reno/Tahoe International"
54,"Albany, NY: Albany International"
55,"Sacramento, CA: Sacramento International"
56,"Portland, ME: Portland International Jetport"
57,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
58,"Burbank, CA: Bob Hope"
59,"Christiansted, VI: Henry E. Rohlsen"
60,"Daytona Beach, FL: Daytona Beach International"
61,"Palm Springs, CA: Palm Springs International"
62,"Nashville, TN: Nashville International"
63,"Anchorage, AK: Ted Stevens Anchorage International"
64,"Martha's Vineyard, MA: Martha's Vineyard Airport"
65,"Nantucket, MA: Nantucket Memorial"
66,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
