,COEFFICIENTS
0,-9.057743274967863e-11
1,-19.151913686308028
2,-1.3855235139964595
3,-0.3130896609243413
4,-0.007690792246795212
5,0.07045998771655074
6,-0.12989837043347563
7,0.059196624705095735
8,0.35169093452736727
9,0.83162519149862
10,0.10388824577948925
11,0.5042782303893948
12,7.114058408277222e-05
13,0.002106193896866103
14,0.004009915608672792
15,-0.0029983044061666305
16,0.01028677005286899
17,0.021245846379447736
18,0.07600914385506133
19,2.756861692719725e-05
20,1.1555757782925307e-05
21,0.0003257736183962366
22,-7.579911131899024e-05
23,0.002507686647569422
24,0.7468758461784113
25,-0.0003597933766990386
26,-4.222032844861191e-05
27,-0.001882980991037445
28,0.0016544784961413487
29,-0.016730372483499414
30,-2.2061691514980034e-06
31,6.196007994619988e-06
32,9.214607707198515e-06
33,-1.2666607224805374e-05
34,2.9026713213723285e-05
35,-8.8132399143152e-06
36,5.934029821838579e-06
37,-1.4683958773145372e-06
38,-5.276264521767533e-05
39,1.551709757887554e-05
40,-2.4550158125232564e-05
41,4.5403504688859286e-05
42,5.627867256056278e-05
43,-7.072018341507173e-05
44,-0.0017339142437313275
45,-0.023935907702092876
46,-0.003088547772022827
47,-0.012185516583004787
48,-1.1457907537320337e-05
49,-1.6188588375692007e-05
50,-0.00013107661545087068
51,6.652343837446859e-05
52,-0.0001458055893039493
53,-0.0013425473694007198
54,0.0025872423304779744
55,-2.1803300751904035e-07
56,-5.425465893022486e-07
57,-1.7233690742841348e-06
58,2.7068222146641543e-06
59,-5.5123018401907724e-05
60,-0.005671568437052519
61,-3.4467985610721693e-06
62,-2.1490511461031746e-05
63,2.7194115569524102e-05
64,-3.505963416748031e-05
65,-0.00026487675164866474
66,1.782456355619146e-08
67,-4.0685690299462766e-08
68,-1.0902604158571323e-07
69,1.6020884703539192e-07
70,-1.4289650996308417e-07
71,-5.079126624778623e-08
72,1.8314525157565638e-09
73,-6.306128804632883e-08
74,5.275988330422443e-07
75,-1.0267294348873364e-06
76,1.1722533230374295e-06
77,3.1131893272410627e-06
78,-1.8291705176088988e-07
79,-5.008066897586063e-06
80,-1.0886110512137328e-05
81,-0.000528248869205164
82,8.403837924288515e-05
83,4.4329140166056076e-07
84,7.307857402465002e-07
85,1.9277661442160526e-07
86,1.8847752501133056e-06
87,-4.6028325778138936e-05
88,-0.010465572015947496
89,-2.6350604204297294e-07
90,1.024797208140024e-06
91,-9.497603162006358e-06
92,7.543723104708219e-06
93,-0.00011723820180320227
94,-9.707263980086689e-10
95,8.125877174122346e-10
96,5.242904594057933e-09
97,-9.831686798766314e-09
98,-5.6220363938719105e-08
99,-1.4372866213720444e-09
100,-3.2070677405695515e-09
101,-6.0938770355019396e-09
102,9.822401195581532e-08
103,-1.2457944989287297e-07
104,1.4213580296272681e-07
105,-4.00597773991498e-07
106,-5.7741780406894376e-08
107,3.005054668509884e-07
108,-8.119926109416534e-07
109,-0.012466915043619207
110,-1.2126172540202348e-05
111,-1.9299977622705858e-05
112,-8.531009773972675e-05
113,3.802855603680473e-05
114,-0.0003048659978476639
115,3.0183801350598076e-09
116,1.821928751957887e-08
117,6.67308886905176e-08
118,-5.727880688943956e-08
119,9.380838522491932e-07
120,-1.3005204834236063e-09
121,2.8943500537597406e-08
122,4.0470983177470644e-08
123,3.871255965247774e-07
124,5.389371162879842e-07
125,-6.584274061869014e-07
126,2.1187355417419032e-06
127,-2.022182881586732e-07
128,1.3116176804499014e-06
129,-1.0913683142531037e-06
130,8.765131677190295e-11
131,-1.42429298857244e-10
132,-1.4371325353532498e-10
133,4.36360306673813e-10
134,-1.667740780091607e-10
135,-7.045771532781121e-11
136,-3.1347827655286467e-10
137,1.7776874483999772e-10
138,-3.539165400859882e-09
139,-1.4897088202627494e-10
140,1.9184735729817357e-10
141,-3.7213011850138778e-09
142,-9.120501094803023e-10
143,3.044068859128151e-09
144,6.483847391891708e-08
145,2.4940665088186556e-10
146,-1.3824827323814415e-11
147,-7.140622824069158e-11
148,2.7724735650932635e-09
149,-1.131461135691587e-09
150,2.1578670595467222e-09
151,-1.589194775459136e-09
152,-1.0281241118019278e-09
153,-1.410580011222944e-09
154,8.189970961408769e-08
155,3.2308220068572314e-09
156,1.7324241966527663e-09
157,-1.435748078819149e-08
158,-1.1447890576771434e-08
159,4.623939775931357e-08
160,-6.046977130936936e-08
161,-2.224664612949817e-09
162,3.796625068114555e-09
163,-2.3761298273662802e-08
164,2.597215073234319e-07
165,-248.26657829161502
